L1I;1;06:30;
L1I;1;07:00;
L1I;1;07:30;
L1I;1;08:00;
L1I;1;08:30;
L1I;1;09:00;
L1I;1;09:30;
L1I;1;10:00;
L1I;1;10:30;
L1I;1;11:00;
L1I;1;11:30;
L1I;1;12:00;
L1I;1;12:30;
L1I;1;13:00;
L1I;1;13:30;
L1I;1;14:00;
L1I;1;14:30;
L1I;1;15:00;
L1I;1;15:30;
L1I;1;16:00;
L1I;1;16:30;
L1I;1;17:00;
L1I;1;17:30;
L1I;1;18:00;
L1I;1;18:30;
L1I;1;19:00;
L1I;1;19:30;
L1I;1;20:00;
L1I;1;20:30;
L1R;1;06:30;
L1R;1;07:00;
L1R;1;07:30;
L1R;1;08:00;
L1R;1;08:30;
L1R;1;09:00;
L1R;1;09:30;
L1R;1;10:00;
L1R;1;10:30;
L1R;1;11:00;
L1R;1;11:30;
L1R;1;12:00;
L1R;1;12:30;
L1R;1;13:00;
L1R;1;13:30;
L1R;1;14:00;
L1R;1;14:30;
L1R;1;15:00;
L1R;1;15:30;
L1R;1;16:00;
L1R;1;16:30;
L1R;1;17:00;
L1R;1;17:30;
L1R;1;18:00;
L1R;1;18:30;
L1R;1;19:00;
L1R;1;19:30;
L1R;1;20:00;
L1R;1;20:30;
L2I;1;06:30;
L2I;1;07:20;
L2I;1;08:10;
L2I;1;08:55;
L2I;1;09:40;
L2I;1;10:30;
L2I;1;11:15;
L2I;1;12:00;
L2I;1;12:45;
L2I;1;13:35;
L2I;1;14:25;
L2I;1;15:10;
L2I;1;16:00;
L2I;1;16:45;
L2I;1;17:30;
L2I;1;18:15;
L2I;1;19:05;
L2I;1;19:50;
L2I;1;20:35;
L2I;1;21:20;
L2R;1;06:30;
L2R;1;07:20;
L2R;1;08:10;
L2R;1;08:55;
L2R;1;09:40;
L2R;1;10:30;
L2R;1;11:15;
L2R;1;12:00;
L2R;1;12:45;
L2R;1;13:35;
L2R;1;14:25;
L2R;1;15:10;
L2R;1;16:00;
L2R;1;16:45;
L2R;1;17:30;
L2R;1;18:15;
L2R;1;19:05;
L2R;1;19:50;
L2R;1;20:35;
L2R;1;21:20;
L3I;1;06:20;
L3I;1;07:10;
L3I;1;08:00;
L3I;1;08:55;
L3I;1;09:45;
L3I;1;10:35;
L3I;1;11:25;
L3I;1;12:20;
L3I;1;13:20;
L3I;1;14:20;
L3I;1;15:10;
L3I;1;16:00;
L3I;1;16:50;
L3I;1;17:50;
L3I;1;18:40;
L3I;1;19:30;
L3I;1;20:20;
L3I;1;21:10;
L3R;1;06:20;
L3R;1;07:10;
L3R;1;08:00;
L3R;1;08:55;
L3R;1;09:45;
L3R;1;10:35;
L3R;1;11:25;
L3R;1;12:20;
L3R;1;13:20;
L3R;1;14:20;
L3R;1;15:10;
L3R;1;16:00;
L3R;1;16:50;
L3R;1;17:50;
L3R;1;18:40;
L3R;1;19:30;
L3R;1;20:20;
L3R;1;21:10;
L1I;2;06:30;
L1I;2;07:00;
L1I;2;07:30;
L1I;2;08:00;
L1I;2;08:30;
L1I;2;09:00;
L1I;2;09:30;
L1I;2;10:00;
L1I;2;10:30;
L1I;2;11:00;
L1I;2;11:30;
L1I;2;12:00;
L1I;2;12:30;
L1I;2;13:00;
L1I;2;13:30;
L1I;2;14:00;
L1I;2;14:30;
L1I;2;15:00;
L1I;2;15:30;
L1I;2;16:00;
L1I;2;16:30;
L1I;2;17:00;
L1I;2;17:30;
L1I;2;18:00;
L1I;2;18:30;
L1I;2;19:00;
L1I;2;19:30;
L1I;2;20:00;
L1I;2;20:30;
L1R;2;06:30;
L1R;2;07:00;
L1R;2;07:30;
L1R;2;08:00;
L1R;2;08:30;
L1R;2;09:00;
L1R;2;09:30;
L1R;2;10:00;
L1R;2;10:30;
L1R;2;11:00;
L1R;2;11:30;
L1R;2;12:00;
L1R;2;12:30;
L1R;2;13:00;
L1R;2;13:30;
L1R;2;14:00;
L1R;2;14:30;
L1R;2;15:00;
L1R;2;15:30;
L1R;2;16:00;
L1R;2;16:30;
L1R;2;17:00;
L1R;2;17:30;
L1R;2;18:00;
L1R;2;18:30;
L1R;2;19:00;
L1R;2;19:30;
L1R;2;20:00;
L1R;2;20:30;
L2I;2;06:30;
L2I;2;07:20;
L2I;2;08:10;
L2I;2;08:55;
L2I;2;09:40;
L2I;2;10:30;
L2I;2;11:15;
L2I;2;12:00;
L2I;2;12:45;
L2I;2;13:35;
L2I;2;14:25;
L2I;2;15:10;
L2I;2;16:00;
L2I;2;16:45;
L2I;2;17:30;
L2I;2;18:15;
L2I;2;19:05;
L2I;2;19:50;
L2I;2;20:35;
L2I;2;21:20;
L2R;2;06:30;
L2R;2;07:20;
L2R;2;08:10;
L2R;2;08:55;
L2R;2;09:40;
L2R;2;10:30;
L2R;2;11:15;
L2R;2;12:00;
L2R;2;12:45;
L2R;2;13:35;
L2R;2;14:25;
L2R;2;15:10;
L2R;2;16:00;
L2R;2;16:45;
L2R;2;17:30;
L2R;2;18:15;
L2R;2;19:05;
L2R;2;19:50;
L2R;2;20:35;
L2R;2;21:20;
L3I;2;06:20;
L3I;2;07:10;
L3I;2;08:00;
L3I;2;08:55;
L3I;2;09:45;
L3I;2;10:35;
L3I;2;11:25;
L3I;2;12:20;
L3I;2;13:20;
L3I;2;14:20;
L3I;2;15:10;
L3I;2;16:00;
